scenario,branch,year,calendar_year,revenue_growth_assumption,revenue_index_2026_100,owner_earnings_b,owner_earnings_per_share,share_count_b,capex_to_ocf_assumption,owner_earnings_conversion_assumption,exit_p_oe,terminal_value_per_share,cumulative_dividends_per_share,ten_year_total_irr_at_373_19,buy_price_for_10pct_irr,decision_read,evidence_grade,open_flags
"bear","defensive_capex","0","2026","start","100.00","52.00","4.21","12.345","106%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","1","2027","5.0%","105.00","54.08","4.36","12.407","115%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","2","2028","5.0%","110.25","56.24","4.51","12.469","95%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","3","2029","5.0%","115.76","58.49","4.67","12.531","90%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","4","2030","5.0%","121.55","60.83","4.83","12.594","85%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","5","2031","5.0%","127.63","63.27","5.00","12.657","80%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","6","2032","3.0%","131.46","65.80","5.17","12.720","75%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","7","2033","3.0%","135.40","68.43","5.35","12.784","70%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","8","2034","3.0%","139.46","71.17","5.54","12.848","68%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bear","defensive_capex","9","2035","3.0%","143.65","74.01","5.73","12.912","65%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","","","","","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
